id,value,link,fixColor
Raphael,14,http://www.vorname.com/name.Raphael.html,0
Ole,14,http://www.vorname.com/name.Ole.html,0
Eva,14,http://www.vorname.com/name.Eva.html,1
Emilian,14,http://www.vorname.com/name.Emilian.html,0
Clemens,14,http://www.vorname.com/name.Clemens.html,0
Matilda,13,http://www.vorname.com/name.Matilda.html,1
Louisa,13,http://www.vorname.com/name.Louisa.html,1
Joshua,13,http://www.vorname.com/name.Joshua.html,0
Ibrahim,13,http://www.vorname.com/name.Ibrahim.html,0
Hannes,13,http://www.vorname.com/name.Hannes.html,0
Carlotta,13,http://www.vorname.com/name.Carlotta.html,1
Ava,13,http://www.vorname.com/name.Ava.html,1
Pauline,12,http://www.vorname.com/name.Pauline.html,1
Nicolas,12,http://www.vorname.com/name.Nicolas.html,0
Mina,12,http://www.vorname.com/name.Mina.html,1
Mika,12,http://www.vorname.com/name.Mika.html,0
Maja,12,http://www.vorname.com/name.Maja.html,1
Lia,12,http://www.vorname.com/name.Lia.html,1
Josephine,12,http://www.vorname.com/name.Josephine.html,1
Jonah,12,http://www.vorname.com/name.Jonah.html,0
Joel,12,http://www.vorname.com/name.Joel.html,0
Jacob,12,http://www.vorname.com/name.Jacob.html,0
Fynn,12,http://www.vorname.com/name.Fynn.html,0
Friedrich,12,http://www.vorname.com/name.Friedrich.html,0
Frederik,12,http://www.vorname.com/name.Frederik.html,0
Erik,12,http://www.vorname.com/name.Erik.html,0
Annika,12,http://www.vorname.com/name.Annika.html,1
Alexandra,12,http://www.vorname.com/name.Alexandra.html,1
Valentina,11,http://www.vorname.com/name.Valentina.html,1
Sofie,11,http://www.vorname.com/name.Sofie.html,1
Muhammed,11,http://www.vorname.com/name.Muhammed.html,0
Merle,11,http://www.vorname.com/name.Merle.html,1
Melina,11,http://www.vorname.com/name.Melina.html,1
Matteo,11,http://www.vorname.com/name.Matteo.html,0
Linda,11,http://www.vorname.com/name.Linda.html,1
Lian,11,http://www.vorname.com/name.Lian.html,0
Levi,11,http://www.vorname.com/name.Levi.html,0
Konstantin,11,http://www.vorname.com/name.Konstantin.html,0
Jannis,11,http://www.vorname.com/name.Jannis.html,0
Flora,11,http://www.vorname.com/name.Flora.html,1
Emilio,11,http://www.vorname.com/name.Emilio.html,0
Alina,11,http://www.vorname.com/name.Alina.html,1
Ahmed,11,http://www.vorname.com/name.Ahmed.html,0
Rafael,10,http://www.vorname.com/name.Rafael.html,0
Paulina,10,http://www.vorname.com/name.Paulina.html,1
Nils,10,http://www.vorname.com/name.Nils.html,0
Malik,10,http://www.vorname.com/name.Malik.html,0
Juna,10,http://www.vorname.com/name.Juna.html,1
Isabella,10,http://www.vorname.com/name.Isabella.html,1
Helene,10,http://www.vorname.com/name.Helene.html,1
Fritz,10,http://www.vorname.com/name.Fritz.html,0
Franziska,10,http://www.vorname.com/name.Franziska.html,1
Emilie,10,http://www.vorname.com/name.Emilie.html,0
Elina,10,http://www.vorname.com/name.Elina.html,1
Elena,10,http://www.vorname.com/name.Elena.html,1
Arthur,10,http://www.vorname.com/name.Arthur.html,0
