bundesland,stadt,bhnummer,station,betriebsstelle,kategorie,strasse,plz,port,traeger,abkuerzung,fern,nah,lon,lat
Rheinland-Pfalz,Koblenz,4225,Kaisersesch,SKAI,6,Bahnhofstr. 42,56759,Kaisersesch,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.1298,50.23098
Rheinland-Pfalz,Koblenz,3099,Kamp-Bornhofen,FKMP,6,Bahnhofstr. 13,56341,Kamp-Bornhofen,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.61822,50.22786
Rheinland-Pfalz,Koblenz,3134,Kattenes,SKTS,6, Am Bahnhof 1,56332,Löf,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,VRM,nein,ja,7.43977,50.25415
Rheinland-Pfalz,Koblenz,3140,Kaub,FKAU,5,Bahnstraße 1,56349,Kaub,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.76846,50.08372
Rheinland-Pfalz,Koblenz,3165,Kestert,FKES,6,Bahnhofstr. 6,56348,Kestert,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.64874,50.18703
Rheinland-Pfalz,Koblenz,3186,Kirchen,EKIR,5,Bahnhofstr. 19,57548,Kirchen (Sieg),Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,VRS,nein,ja,7.8803,50.80652
Rheinland-Pfalz,Koblenz,3280,Kloster Marienthal,KKLM,7,Marienthaler Str. 26,57612,Hilgenroth,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,VRS,nein,ja,7.6535,50.73538
Rheinland-Pfalz,Koblenz,3287,Klotten,SKT,6,Bahnhofstr. 1,56818,Klotten,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,VRM,nein,ja,7.20075,50.16471
Rheinland-Pfalz,Koblenz,3297,Kobern-Gondorf,SKG,5,Bahnhofstr. 9,56330,Kobern-Gondorf,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,VRM,nein,ja,7.46022,50.3007
Rheinland-Pfalz,Koblenz,3299,Koblenz Hbf,KKO,2,Bahnhofsplatz 2,56068,Koblenz,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,VRM,ja,ja,7.58931,50.3508
Rheinland-Pfalz,Koblenz,8258,Koblenz Stadtmitte,KKSM,4,Pastor-Metzdorf-Weg,56068,Koblenz,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,VRM,nein,ja,7.59008,50.35719
Rheinland-Pfalz,Koblenz,3300,Koblenz-Ehrenbreitstein,KKOE,5,Hofstrasse 257,56077,Koblenz,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.61017,50.3598
Rheinland-Pfalz,Koblenz,2408,Koblenz-Güls,SGS,6,Am Turnerheim,56072,Koblenz-Güls,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,VRM,nein,ja,7.54992,50.33824
Rheinland-Pfalz,Koblenz,3301,Koblenz-Lützel,KKOL,5,Am Güterbahnhof 1,56070,Koblenz,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,VRM,nein,ja,7.59247,50.36631
Rheinland-Pfalz,Koblenz,3302,Koblenz-Moselweiß,SKOW,6,Bahnhofsweg 2,56072,Koblenz,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,VRM,nein,ja,7.55793,50.35018
Rheinland-Pfalz,Koblenz,3355,Königsstollen,EKSO,7,Hollertszug 8,57562,Herdorf,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,VRS,nein,ja,7.93212,50.77837
Rheinland-Pfalz,Koblenz,3386,Kottenheim,KKOH,6,Eisenbahnweg 1,56736,Kottenheim,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.24941,50.34903
Rheinland-Pfalz,Koblenz,3391,Kövenig,SKV,7,Moselstraße 9,54536,Kröv-Kövenig,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.1198,49.9812
Rheinland-Pfalz,Koblenz,3416,Kreuzberg (Ahr),KKRZ,6,Bahnhofstr. 5,53505,Altenahr,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,VRM,nein,ja,6.97803,50.50643
Rheinland-Pfalz,Koblenz,3435,Kruft,KKRF,6,Bahnhofstr. 20,56642,Kruft,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.33831,50.3907
Rheinland-Pfalz,Koblenz,3540,Langenhahn,FLAH,6,Bahnhofstr. 3,56459,Langenhahn,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.91593,50.58662
Rheinland-Pfalz,Koblenz,3594,Laurenburg (Lahn),FLBG,6,Bahnhof Laurenburg,56370,Gutenacker,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.90577,50.32955
Rheinland-Pfalz,Koblenz,3614,Lehmen,SLE,6,Fährstraße 1,56332,Lehmen,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,VRM,nein,ja,7.4549,50.28428
Rheinland-Pfalz,Koblenz,3677,Leubsdorf (Rhein),KLEU,6,Hauptstraße 1,53547,Leubsdorf ,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.2756,50.58669
Rheinland-Pfalz,Koblenz,3687,Leutesdorf (Rhein),KLET,5,August Bungert Allee 1,56599,Leutesdorf ,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.39401,50.44619
Rheinland-Pfalz,Koblenz,3744,Linz (Rhein),KLI,4,Bahnhofstr. 1,53545,Linz ,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,VRS,nein,ja,7.35199,50.5953
Rheinland-Pfalz,Koblenz,3761,Löf,SLF,6,Bahnhofstr. 1,56332,Löf,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,VRM,nein,ja,7.44239,50.23415
Rheinland-Pfalz,Koblenz,4008,Mayen Ost,KMYO,6,Ostbahnhofstr. 83,56727,Mayen,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,VRM,nein,ja,7.24011,50.32873
Rheinland-Pfalz,Koblenz,4009,Mayen West,KMYW,6,Westbahnhofstr. 29,56727,Mayen,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.21412,50.3284
Rheinland-Pfalz,Koblenz,4010,Mayschoß,KMAY,7,An der Bundesstr. 47,53508,Mayschoß,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,VRM,nein,ja,7.00968,50.51802
Rheinland-Pfalz,Koblenz,4509,Mendig,KNME,6,Bahnstr. 5,56743,Mendig,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,VRM,nein,ja,7.28147,50.37154
Rheinland-Pfalz,Koblenz,4103,Miesenheim,KMIE,6,Bahnhofstr. 31,56626,Miesenheim Andernach,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.39153,50.39171
Rheinland-Pfalz,Koblenz,654,Monreal,SML,7,Bahnhofstr. 58,56729,Monreal,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,,nein,ja,7.15284,50.2961
Rheinland-Pfalz,Koblenz,4169,Montabaur,FMT,4,Staudter Str. 1,56410,Montabaur,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,VRM,ja,ja,7.82794,50.45373
Rheinland-Pfalz,Koblenz,4186,Moselkern,SMK,6,Bahnhofstraße 1,56254,Moselkern,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,VRM,nein,ja,7.40843,50.22609
Rheinland-Pfalz,Koblenz,4194,Müden (Mosel),SMD,6,Fährstraße 1,56254,Müden ,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,VRM,nein,ja,7.33931,50.18477
Rheinland-Pfalz,Koblenz,4195,Mudersbach,EMUD,6,Brückenstr. 1,57555,Mudersbach,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,VRS,nein,ja,7.95201,50.8281
Rheinland-Pfalz,Koblenz,4298,Namedy,KNAM,6,Schloßstr.1,56626,Andernach,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.36252,50.45735
Rheinland-Pfalz,Koblenz,4302,Nassau (Lahn),FNAS,5,Bahnhofsplatz 1,56377,Nassau ,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.7294,50.32774
Rheinland-Pfalz,Koblenz,4326,Neef,SNF,6,Petersbergstr. 6,56858,Neef,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.1391,50.09141
Rheinland-Pfalz,Koblenz,4464,Neuwied,KNE,3,Augustastr. 33,56564,Neuwied,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.47025,50.43113
Rheinland-Pfalz,Koblenz,4493,Niedererbach,FNIB,7,Bornstr. 2,56412,Niedererbach,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.97483,50.4263
Rheinland-Pfalz,Koblenz,4501,Niederhövels,ENDV,6,Am Bahnhof 15,57539,Hövels,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,VRS,nein,ja,7.7884,50.78644
Rheinland-Pfalz,Koblenz,4503,Niederlahnstein,KNL,4,Koblenzer Str. 1,56112,Lahnstein,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.59996,50.31654
Rheinland-Pfalz,Koblenz,4521,Niederschelden,ENDN,5,Kölner Str. 8,57555,Mudersbach,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,VRS,nein,ja,7.96109,50.83749
Rheinland-Pfalz,Koblenz,4555,Nievern,FNIV,6,Bahnhofstr. 23,56132,Nievern,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.68135,50.33735
Rheinland-Pfalz,Koblenz,1620,Nistertal-Bad Marienberg,FERW,6,Bahnhofstr. 2,57647,Nistertal,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.90101,50.63224
Rheinland-Pfalz,Koblenz,4637,Obererbach,KOE,7,Hauptstr. 72,57612,Obererbach (Westerwald),Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,VRS,nein,ja,7.71687,50.70309
Rheinland-Pfalz,Koblenz,4659,Oberlahnstein,KOL,5,Bürgermeister-Müller-Str. 2,56112,Lahnstein,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.60442,50.29972
Rheinland-Pfalz,Koblenz,4673,Obernhof (Lahn),FOBH,6,Bahnhofstr. 2,56379,Laurenburg,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.85243,50.31543
Rheinland-Pfalz,Koblenz,4711,Oberwesel,FOBW,5,Mainzerstr. 1,55430,Oberwesel,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.73125,50.10439
Rheinland-Pfalz,Koblenz,4713,Oberwinter,KOWI,5,Hauptstr. 27,53424,Remagen,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.20799,50.61149
Rheinland-Pfalz,Koblenz,4800,Osterspai,KOSS,6,Bahnhofstr. 13,56340,Osterspai,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.61613,50.24522
Rheinland-Pfalz,Koblenz,4948,Plaidt,KPL,6,Am Bahnhof 4,56637,Plaidt,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.39307,50.39582
Rheinland-Pfalz,Koblenz,4987,Pommern (Mosel),SPOM,6,Bahnhofstraße 1,56829,Pommern ,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,VRM,nein,ja,7.26987,50.16957
Rheinland-Pfalz,Koblenz,5153,Rech,KREC,6,Am Herrenberg 1,53506,Rech,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,VRM,nein,ja,7.03604,50.5151
Rheinland-Pfalz,Koblenz,5198,Reil DB,SREI,7,Kaiserstr. 3,56861,Reil / Mosel,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.11353,50.02507
Rheinland-Pfalz,Koblenz,5214,Remagen,KRE,3,Maisons-Laffitte-Platz 2,53424,Remagen,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,VRM,ja,ja,7.22971,50.57771
Rheinland-Pfalz,Koblenz,5250,Rheinbrohl,KRBR,5,Hauptstr. 1,56598,Rheinbrohl,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.32821,50.4987
Rheinland-Pfalz,Koblenz,5259,Rhens,KRHE,6,Am Bahnhof 4,56321,Rhens,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.61979,50.28097
Rheinland-Pfalz,Koblenz,5328,Rolandseck,KROL,6,Freiligrahtstr.1,53424,Remagen,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.20799,50.63034
Rheinland-Pfalz,Koblenz,5381,Rotenhain,FRTN,6,Bahnhofstr. 11,56459,Stockum-Püschen,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.89917,50.6047
Rheinland-Pfalz,Koblenz,1293,Salmtal,SSMT,6,Neuer Bahnhof 1,54528,Salmtal,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,,nein,ja,6.83691,49.92215
Rheinland-Pfalz,Koblenz,5511,Sassenroth,ESAS,7,Auf dem Sann 6,57562,Herdorf,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,VRS,nein,ja,7.91655,50.7719
Rheinland-Pfalz,Koblenz,5561,Scheuerfeld (Sieg),ESCF,5,Bahnhofstr. 1,57584,Scheuerfeld ,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,VRS,nein,ja,7.83645,50.79106
Rheinland-Pfalz,Koblenz,5739,Schweich DB,SSWE,5, Am Bahnhof 1,54338,Schweich,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,6.74265,49.83122
Rheinland-Pfalz,Koblenz,5800,Sehlem (Kr Wittlich),SSE,6,Bahnhofsstraße 62,54518,Sehlem,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,6.82416,49.90732
Rheinland-Pfalz,Koblenz,5848,Siershahn,KSIH,6,Bahnhofstr. 18,56427,Siershahn,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.77115,50.48579
Rheinland-Pfalz,Koblenz,5871,Sinzig (Rhein),KSIZ,4,Barbarossastr. 1,53489,Sinzig ,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,SaarVV,nein,ja,7.25807,50.54663
Rheinland-Pfalz,Koblenz,5917,Spay,KSPA,6,In der Wesser 1,56322,Spay,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.64586,50.25505
Rheinland-Pfalz,Koblenz,5939,St. Goar,FSGO,6,Oberstr. 32,56329,St. Goar,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.7149,50.15031
Rheinland-Pfalz,Koblenz,5940,St. Goarshausen,FSGH,6,Bahnhofstr. 34,56346,St. Goarshausen,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.71424,50.15584
Rheinland-Pfalz,Koblenz,5992,Steinefrenz,FSFZ,6,Am Bahnhof 1,56414,Steinefrenz,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.94414,50.44921
Rheinland-Pfalz,Koblenz,6204,Thür,KTH,7,Niedermendigerstr. 17,56743,Thür,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.27638,50.35736
Rheinland-Pfalz,Koblenz,6232,Traben-Trarbach DB,STT,7,Kaiserstr. 1,56841,Traben-Trarbach,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.12075,49.95011
Rheinland-Pfalz,Koblenz,6250,Treis-Karden,STK,5,St. Castor Str. 89,56253,Treis-Karden,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,VRM,nein,ja,7.29954,50.18028
Rheinland-Pfalz,Koblenz,6334,Unkel,KUN,5,Siebebgebirgsstr. 2,53572,Unkel,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,VRS,nein,ja,7.21947,50.6027
Rheinland-Pfalz,Koblenz,6338,Unnau-Korb,FUKO,7,Bahnhofstr. 10,57648,Unnau,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.88925,50.65414
Rheinland-Pfalz,Koblenz,5137,Urmersbach,SURM,7,Im Acker 1,56761,Urmersbach,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.13108,50.25571
Rheinland-Pfalz,Koblenz,6374,Urmitz,KUR,6,Eisenbahnstr.2,56218,Mühlheim-Kärlich,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,VRM,nein,ja,7.50913,50.40233
Rheinland-Pfalz,Koblenz,8137,Urmitz Rheinbrücke,KURR,6,Hauptstraße 1,56220,Urmitz/Rhein,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,VRM,nein,ja,7.5243,50.41688
Rheinland-Pfalz,Koblenz,6378,Ürzig DB,SUG,6,Bahnhofstr. 5,54539,Ürzig,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,6.93938,49.97242
Rheinland-Pfalz,Koblenz,6392,Vallendar,KVA,6,Rheinstr. 89,56179,Vallendar,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.61052,50.39966
Rheinland-Pfalz,Koblenz,6517,Walporzheim,KWAP,6,Prümerstr. 20,53474,Bad Neuenahr-Ahrweiler,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,VRM,nein,ja,7.0764,50.53149
Rheinland-Pfalz,Koblenz,6638,Weißenthurm,KWEH,5,Bahnhofstr. 5,56575,Weißenthurm,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,VRM,nein,ja,7.45872,50.41622
Rheinland-Pfalz,Koblenz,6710,Westerburg,FWBG,6,Bahnhofstr. 46,56457,Westerburg,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.96784,50.55804
Rheinland-Pfalz,Koblenz,6779,Willmenrod,FWLM,7,Bahnhofsstr. 22,56459,Willmenrod,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.98564,50.53925
Rheinland-Pfalz,Koblenz,6802,Winningen (Mosel),SWI,6,Bahnhofstr. 9a,56333,Winningen ,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,VRM,nein,ja,7.52359,50.31632
Rheinland-Pfalz,Koblenz,6816,Wirges,KWIR,7,Am Bahndamm 102,56422,Wirges,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,nein,ja,7.78548,50.46756
Rheinland-Pfalz,Koblenz,6819,Wissen (Sieg),EWIN,5,Bahnhofstraße 2,57537,Wissen ,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,VRS,nein,ja,7.73933,50.78257
Rheinland-Pfalz,Koblenz,6834,Wittlich Hbf,SWIH,4,Bahnhofstr. 8,54516,Wittlich,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord,0,ja,ja,6.9444,49.97372
Rheinland-Pfalz,Mainz,44,Albig,FAG,6,Bahnhofstr. 1,55234,Albig,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd,0,nein,ja,8.19064,49.80219
Rheinland-Pfalz,Mainz,66,Alsheim,FAHM,5,Bahnhofsstraße 1,67577,Alsheim,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd,VRN,nein,ja,8.34041,49.76553
Rheinland-Pfalz,Mainz,84,Altenbamberg,SAB,6,Hauptstr. 43,55585,Altenbamberg,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd,0,nein,ja,7.83164,49.78587
Rheinland-Pfalz,Mainz,133,Alzey,FALZ,3,Bahnhofstr. 30,55232,Alzey,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd,VRN,nein,ja,8.10833,49.74861
Rheinland-Pfalz,Mainz,7531,Alzey Süd,FAZS,6,Wormser Str.,55232,Alzey,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd,VRN,nein,ja,8.12012,49.73559
Rheinland-Pfalz,Mainz,175,Armsheim,FARM,5,Bahnhofstr. 6,55288,Armsheim,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd,RNN,nein,ja,8.05801,49.808
Rheinland-Pfalz,Mainz,240,Bacharach,FBCH,4,Mainzer Str. 11,55422,Bacharach,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd,RNN,nein,ja,7.76902,50.05654
Rheinland-Pfalz,Mainz,296,Bad Kreuznach,SBKN,3,Europaplatz 25,55543,Bad Kreuznach,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd,RNN,nein,ja,7.86597,49.84392
Rheinland-Pfalz,Mainz,307,Bad Münster am Stein,SBMS,4,Berliner Str. 20,55583,Bad Münster am Stein,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd,0,nein,ja,7.84766,49.81309
Rheinland-Pfalz,Mainz,5875,Bad Sobernheim,SSOB,5,Bahnstr. 1,55566,Bad Sobernheim,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd,RNN,nein,ja,7.64979,49.783
Rheinland-Pfalz,Mainz,649,Bingen (Rhein) Hbf,FBGK,4,Bingerbrücker Straße 1,55411,Bingen ,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd,RNN,ja,ja,7.88868,49.96818
Rheinland-Pfalz,Mainz,650,Bingen (Rhein) Stadt,FBGN,4,Espenschiedstr. 1,55411,Bingen ,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd,RMV,nein,ja,7.90328,49.96967
Rheinland-Pfalz,Mainz,651,Bingen-Gaulsheim,FBGG,6,Mainzer Str. 15,55411,Bingen-Gaulsheim,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd,0,nein,ja,7.91551,49.96936
Rheinland-Pfalz,Mainz,739,Bodenheim,FBOD,4,Bahnhofsplatz 1,55294,Bodenheim,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd,VRN,nein,ja,8.31114,49.93035
Rheinland-Pfalz,Mainz,881,Bretzenheim (Nahe),SBRH,6,Bahnhofstr. 14,55559,Bretzenheim ,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd,0,nein,ja,7.89842,49.87453
Rheinland-Pfalz,Mainz,954,Budenheim,FBUD,5,Mainzer Str. 15,55257,Budenheim,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd,0,nein,ja,8.1735,50.02689
Rheinland-Pfalz,Mainz,8252,Dienheim,FDHM,6,,,,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd,,nein,nein,,
Rheinland-Pfalz,Mainz,1613,Eppelsheim (Rheinhess),FEPP,6,Bahnhofstr. 1,55234,Eppelsheim ,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd,VRN,nein,ja,8.16322,49.70011
Rheinland-Pfalz,Mainz,1800,Fischbach-Weierbach,SFWB,6,Weierbacherstr. 1,55743,Idar-Oberstein,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd,RNN,nein,ja,7.40613,49.73908
Rheinland-Pfalz,Mainz,2019,Gau Algesheim,FGAL,4,Bahnhofstr. 1,55435,Gau Algesheim,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd,RNN,nein,ja,8.01469,49.95925
Rheinland-Pfalz,Mainz,2020,Gau Bickelheim,FGBM,6,Bahnhofstr. 31,55599,Gau Bickelheim,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd,0,nein,ja,8.02175,49.83986
Rheinland-Pfalz,Mainz,2064,Gensingen-Horrweiler,FGHO,5,Alexander-Bretz-Straße,55457,Gensingen,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd,RNN,nein,ja,7.93775,49.89764
Rheinland-Pfalz,Mainz,2417,Gundersheim (Rheinhess),FGUH,7,Bahnhofstr. 32,67598,Gundersheim ,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd,VRN,nein,ja,8.19828,49.69005
Rheinland-Pfalz,Mainz,2419,Guntersblum,FGUB,5,Wormserstr. 1,67583,Guntersblum,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd,0,nein,ja,8.34928,49.79516
Rheinland-Pfalz,Mainz,2644,Heidesheim (Rheinhess),FHEI,5,Bahnhofstr. 27,55262,Heidesheim ,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd,RNN,nein,ja,8.11124,49.99676
Rheinland-Pfalz,Mainz,2658,Heimbach (Nahe),SHB,6,Am alten Bahnhof,55779,Heimbach ,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd,0,nein,ja,6.50211,50.57179
Rheinland-Pfalz,Mainz,2811,Hochstätten (Pfalz),SHST,6,An der B 48,55585,Hochstätten,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd,0,nein,ja,9.31065,50.47282
Rheinland-Pfalz,Mainz,2812,Hochstetten (Nahe),SHS,6,Bahnhofstr. 1,55606,Hochstetten ,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd,RNN,nein,ja,7.46223,49.78577
Rheinland-Pfalz,Mainz,7715,Hohensülzen,FHSU,7,Bahnhofstr. 25,67591,Hohensülzen,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd,VRN,nein,ja,8.22072,49.61902
Rheinland-Pfalz,Mainz,2905,Hoppstädten (Nahe),SHPS,6,Nahestr. 1,55768,Hoppstädten ,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd,0,nein,ja,7.19597,49.61561
Rheinland-Pfalz,Mainz,2964,Idar-Oberstein,SIDO,4,Bahnhofstr. 20,55743,Idar-Oberstein,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd,0,nein,ja,7.32067,49.6994
Rheinland-Pfalz,Mainz,2992,Ingelheim,FIL,4,Bahnhofstr. 1,55218,Ingelheim,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd,RNN,nein,ja,8.05396,49.97554
Rheinland-Pfalz,Mainz,3208,Kirn,SKR,5,Bahnhofstr. 14,55606,Kirn,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd,RNN,nein,ja,7.51113,49.79935
Rheinland-Pfalz,Mainz,3209,Kirnsulzbach,SKRS,6,Odernburgerstr. 1,55606,Kirn,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd,0,nein,ja,7.46089,49.78966
Rheinland-Pfalz,Mainz,3240,Klein Winternheim-Ober Olm,FKWO,6,Am alten Bahnhof 1,55270,Klein Winternheim,Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd,0,nein,ja,8.20777,49.93989
