date,value
2016-05-12,2166683
2012-09-14,19802533
2017-01-26,244231
2013-05-10,423874
2014-08-20,204839
2014-01-04,1396344
2012-03-23,196151
2012-02-05,34431
2015-11-10,44543
2014-03-23,126437
2012-04-19,394445
2015-03-03,3881659
2015-05-15,999355
2013-04-15,556950
2014-07-16,1805183
2010-10-02,93721
2014-11-21,873832
2012-10-05,344063
2013-12-22,35460
2011-05-30,26766314
2014-10-16,36171
2016-04-01,525124
2017-02-24,534373
2010-07-08,68513
2017-02-24,206981
2013-06-07,309001
2011-09-28,40985
2016-08-12,408495
2012-05-04,44855
2012-08-22,1915178
2014-04-20,3230670
2016-07-29,45986
2016-06-27,26137
2011-12-29,135627
2012-10-13,224057
2011-01-31,69069
2015-05-04,257886
2013-04-22,72807
2016-01-17,44919
2010-07-08,63037
2012-12-09,289008
2015-05-22,29446
2016-02-07,5369974
2017-02-10,536880
2012-07-11,251304
2017-03-16,3714904
2011-09-28,239544
2015-01-11,44480
2014-04-04,86574
2012-12-31,151502
2016-02-12,1016890
2015-05-01,217941
2012-02-19,3537098
2014-11-24,68069
2011-01-06,2207691
2012-05-09,13585736
2015-11-30,1216314
2011-09-25,1709180
2014-03-30,250169
2012-04-10,131098
2014-01-30,217673
2015-03-12,918190
2014-07-18,30852
2013-09-04,98250
2011-02-04,143191
2015-07-10,15423518
2016-02-02,108410
2014-09-11,5110365
2012-12-08,62947
2013-09-02,82392
2013-06-28,84758
2015-05-22,569093
2015-07-28,50730
2010-09-21,132547
2015-06-04,190927
2011-10-13,176800
2013-10-20,250616
2016-04-15,760688
2017-02-15,79817
2012-08-30,942787
2014-09-16,65639
2013-12-19,86562
2010-08-29,3895927
2013-11-24,118691
2016-09-09,54861
2014-04-13,735725
2014-01-26,13040642
2013-03-31,192831
2010-04-30,220536
2012-09-13,824939
2011-02-26,43216
2015-08-21,991562
2010-09-21,2416623
2014-12-22,475870
2015-12-07,28375
2015-10-11,35410
2016-10-13,228403
2014-05-27,32461
2015-04-09,654930
2013-11-20,132117
2013-01-13,40441
2013-11-26,236212
2014-03-23,127303
2013-11-23,167280
2014-01-08,30151
2015-02-15,342278
2010-09-25,67569
2012-04-07,751556
2016-01-08,177794
2013-04-26,832603
2012-01-03,997337
2012-07-01,354349
2010-01-15,635754
2014-07-31,364513
2012-11-08,261891
2015-02-20,2272454
2013-02-22,31479
2015-04-30,37722
2014-03-06,1409071
2012-11-27,690546
2014-10-24,498967
2011-01-30,45213
2015-09-26,91821
2012-03-23,127898
2016-01-18,77074
2014-11-04,89683
2012-03-09,11545637
2011-12-05,291844
2013-06-28,55223
2015-10-23,54417
2016-09-20,1006009
2012-01-12,101087
2012-10-04,520637
2013-03-08,83923
2015-03-19,45537
2017-01-20,720986
2013-09-11,243021
2012-08-19,112293
2011-04-04,143345
2011-08-07,236940
2010-09-22,3561538
2013-02-24,1776919
2010-07-13,65417
2016-06-21,75238
2012-10-07,698959
2015-06-05,1016943
2014-05-10,198935
2014-01-07,31717
2011-12-09,59818
2010-05-13,69918
2015-03-27,72762
2011-07-04,369378
2011-11-10,19049009
2011-09-02,27103
2014-09-01,617378
2013-04-03,59140
2015-05-06,48371
2013-09-05,148006
2015-05-15,40874
2017-01-11,497177
2010-03-31,107147
2011-03-25,479578
2011-05-31,112818
2016-03-02,3134899
2012-12-02,627051
2014-11-11,167411
2011-08-30,61599
2015-06-17,138729
2014-12-18,265796
2010-07-08,69680
2013-03-23,1431578
2016-01-30,33110
2014-03-14,985175
2011-11-23,52470232
2017-01-12,2433123
2014-02-14,2430499
2016-01-20,13675127
2010-07-08,57924
2013-01-06,737385
2015-03-24,750848
2012-10-19,72382
2016-11-13,240964
2015-10-21,94124
2013-04-17,246667
2014-02-23,172382
2016-06-17,1061623
2017-01-19,2775021
2014-08-01,1077351
2013-09-18,228287
2014-08-03,405380
2015-06-04,34160
2015-05-22,257740
2013-04-16,43677
2013-09-16,47037
2014-04-01,12934365
2011-02-21,116047
2015-07-02,676360
2015-04-07,304569
2014-11-24,406892
2014-11-05,436598
2015-09-19,66657
2010-01-24,451835
2013-12-28,489446
2015-02-15,101426
2015-04-10,13599726
2012-04-22,129639
2016-08-24,49408
2010-12-06,49645
2014-05-29,245947
2011-03-11,69029
2014-11-12,78748
2013-10-17,69556
2013-08-03,276288
2013-01-09,218588
2014-09-22,106236
2014-08-15,1138589
2010-08-02,260718
2010-12-16,222996
2016-02-21,525296
2014-12-30,27374
2014-06-07,138761
2017-05-12,1103436
2014-05-15,57602
2014-11-23,341178
2016-08-25,112417
2015-03-12,296249
2011-08-12,44997
2010-12-12,46726
2011-12-24,74548
2013-09-07,592661
2014-07-15,494617
2010-12-19,2099599
2013-06-04,1533363
2011-01-12,26775
2014-02-01,608262
2010-11-29,84829
2015-10-02,121949
2014-12-14,5468564
2015-07-31,360747
2012-08-22,204475
2014-08-19,51932
2013-09-15,575382
2015-04-02,34100
2015-01-30,177922
2016-02-19,31544
2012-12-13,14910895
2011-03-13,97122
2014-09-30,423029
2015-06-28,780355
2014-10-06,170685
2016-03-02,579661
2015-09-08,76865
2015-12-27,267902
2016-02-15,563840
2013-05-16,830467
2015-03-07,41793
2010-05-26,358989
2012-05-20,40899
2011-01-16,144842
2012-06-25,366270
2016-03-21,47707
2012-11-30,408587
2013-05-24,1388574
2017-04-26,174037
2015-03-20,8107499
2017-05-05,651708
2013-10-17,195193
2013-02-21,221389
2013-10-09,166185
2015-03-02,64030
2010-07-08,51391
2014-03-15,1766565
2011-11-04,30535
2016-01-13,58574
2014-12-24,435233
2012-02-29,851584
2015-06-12,716030
2015-08-26,166475
2015-08-20,7796212
2017-03-30,4032095
2013-12-01,106468
2014-02-10,30858
2012-09-16,96890
2012-03-22,524750
2016-11-25,753100
2011-06-02,81681
2010-02-15,120855
2017-04-26,211729
2010-09-30,29083
2012-03-03,28799
2014-09-25,224469
2014-06-03,45903
2012-05-20,14276805
2017-03-26,1700718
2012-10-05,171697
2010-10-08,219888
2015-01-27,28288
2014-05-23,1970692
2015-02-25,370174
2013-07-25,169820
2015-02-17,2434752
2012-09-24,34534
2014-11-13,32031
2015-12-22,31115
2013-12-14,64858
2012-09-07,127924
2015-12-22,736692
2015-12-14,726706
2014-11-30,110627
2016-09-11,42290
2015-12-17,3146496
2015-09-11,55513
2014-10-03,226593
2011-06-23,7771509
2015-11-06,30503
2010-11-24,8605131
2015-10-28,259071
2016-10-23,7841402
2010-02-23,497152
2016-09-11,6267443
2012-03-02,225681
2012-10-10,82790
2012-11-13,87345
2012-06-12,42478
2014-02-11,1017991
2015-12-27,397772
2014-02-12,978087
2012-03-05,689376
2014-11-14,80049
2012-12-09,2901571
2016-11-16,721248
2015-12-02,265412
2010-10-26,8947005
2014-06-04,381230
2014-02-17,54947
2013-04-08,267124
2015-08-27,533926
2012-07-26,128377
2013-11-20,4240528
2014-04-13,71582
2013-11-29,81720
2017-03-03,28170
2012-07-29,77377
2017-03-21,2687207
2010-07-14,285587
2015-02-05,280764
2015-02-13,36983
2014-10-30,50923
2012-05-09,81438
2011-02-26,78820
2012-05-28,173057
2016-05-17,742522
2016-02-19,1279990
2017-04-14,1806917
2015-10-22,27233
2010-01-01,647794
2016-09-13,61827
2010-06-15,143245
2012-10-18,92835
2015-05-05,80467
2012-09-28,852361
2011-06-01,315292
2015-05-06,38046
2013-12-08,27639
2016-09-02,200622
2015-07-06,224834
2012-02-15,2301439
2013-12-01,50814
2010-02-15,129866
2016-04-20,38355
2016-08-03,244855
2014-09-05,277362
2013-06-14,39058
2015-10-15,102960
2013-01-04,334461
2010-05-17,953764
2012-12-02,206483
2013-05-14,415989
2015-02-17,95648
2013-07-02,29411
2016-10-16,5412875
2015-04-02,1286057
2015-08-07,249679
2016-03-11,547890
