Global rank,Global rank preyear,Company,Country,Sector,Market value $m,Turnover $m,Net income $m,Total assets $m,Employees,Price $,P/e ratio,Dividend yield (%),Year End ,Country code,Sector code
249,219,Oil & Natural Gas,India,Oil & gas producers,41881.2,29067.9,4416,54015.4,33988,4.9,9.4,3.3,3/31/2014,18,1
250,203,LyondellBasell Industries,US,Chemicals,41880.4,41766.3,3811.4,24012,13100,87.8,11.9,3,12/31/2014,0,18
251,208,ITC,India,Tobacco,41735.5,5883.8,1481.3,6805.4,25917,5.2,27.4,1.9,3/31/2014,18,22
252,244,Dominion Resources,US,Electricity,41698.2,12436,1310,54327,14400,70.9,31.6,3.4,12/31/2014,0,33
253,282,Yahoo,US,Software & computer services,41596.5,4618.1,7521.7,61934.2,12500,44.4,6,,12/31/2014,0,3
254,,Shenwan Hongyuan,China,Financial services,41361.9,N/R,556.3,32607,,2.8,,,12/31/2014,1,17
255,227,Ericsson,Sweden,Technology hardware & equipment,41336,29238.8,1483.6,36010,118055,12.6,27.3,3.4,12/31/2014,23,0
256,,China Communications Construction,China,Construction & materials,41271.6,58980.4,2253.4,101071.1,103357,1.4,10.1,2.1,12/31/2014,1,35
257,387,Wellpoint,US,Health care equipment & services,41194.6,73923.1,2569.7,61784.6,51500,154.4,17.2,1.1,12/31/2014,0,23
258,224,Iberdrola,Spain,Electricity,41179.6,36314.8,2813.2,106328.9,28212,6.4,14.6,5.1,12/31/2014,15,33
259,264,Fast Retailing,Japan,General retailers,41124.8,13290,716.4,9427.9,30448,387.7,55.1,0.7,8/31/2014,4,7
260,270,Enbridge,Canada,Oil equipment & services,41075.4,32393.5,1209.1,62217.2,8882,48.2,39.2,2.5,12/31/2014,17,24
261,355,HDFC Bank,India,Banks,40961,N/R,1456.7,83583.5,68165,16.3,26.8,0.7,3/31/2014,18,4
262,338,Infosys Technologies,India,Software & computer services,40710.5,8352.2,1774,9396.1,160405,35.5,22.7,0.7,3/31/2014,18,3
263,274,Automatic Data Processing,US,Support services,40692,12206.5,1515.9,32051.7,61000,85.6,27.3,2.2,6/30/2014,0,29
264,234,Denso,Japan,Automobiles & parts,40419.8,39689.5,2784.8,42889.1,139842,45.7,13.1,2.2,3/31/2014,4,10
265,261,Southern,US,Electricity,40289.4,18467,2031,70923,26369,44.3,20.3,4.7,12/31/2014,0,33
266,192,Standard Chartered,UK,Banks,40139.6,N/R,2472.9,725394.9,90940,16.2,16.7,5.2,12/31/2014,7,4
267,289,Charles Schwab,US,Financial services,39967.8,N/R,1321,154642,14600,30.4,31.7,0.8,12/31/2014,0,17
